CX1	CX2	CX3	CX4	CX5	CX6	CX7	CX8	CX9	CX10	CX11	CX12	CX13	CX14	CX15	CX16	CX17
TCGA-14-0786	0.893075470055935	0.0815481728194209	0	0	0.0124384163459647	0	0	0	0.000539871403979101	0	0.0123980693747003	0	0	0	0	0	0
TCGA-14-1459	0.668629038900234	0.0738989044489103	0.165653966196814	0	0	0	0.0174510530754818	0	0.000970962562363341	0	0.0639447530411005	0	0.00670441394091602	0.00274690783418014	0	0	0
TCGA-14-1823	0.521208227595365	0.0447212650524133	0.222335924636383	0.0224737425346743	0.0251468384781791	0.0236407195005931	0.0460360204514708	0	0.0283522661742402	0	0.0570025217018979	0	0	0	0	0	0.00908247387478371
TCGA-14-2554	0.741784864651375	0.11967027967541	0.0842667192425985	0	0	0.000730080120762956	0	0	0.00591199565335911	0.00216360979136658	0.0391283411027969	0	0.00634410976233089	0	0	0	0
TCGA-16-1063	0.716274982617212	0.0912436241608359	0.0702849864151506	0.00459460270013553	0.0106944688198862	0	0.00217669627626386	0	0.0252286384826407	0	0.0717232971877034	0	0.00777870334017174	0	0	0	0
TCGA-18-3408	0.692772378622412	0.100164552722178	0	0.0077100689420941	0.0839996210636434	0.0258128004715094	0.0136119367388033	0	0.0163176207649173	0	0	0.00171415366759337	0.0139161823318105	0	0.0439806846750396	0	0
TCGA-18-3415	0.387568640046908	0.0801499706234395	0.34938805083933	0.0194651208666547	0	0.00874697871477649	0.0051334464733317	0.00203131461554012	0.0279101914797563	0	0.0363811895821681	0	0	0	0	0	0.0832250967580958
TCGA-18-4721	0.385121674870146	0	0.340014443057138	0.0990056412125398	0.0709103254547455	0.016662531259018	0.00822825649411908	0.0158301824422212	0.0436809971103828	0	0.0124826437101236	0.00262253007460593	0.00544077431496042	0	0	0	0
TCGA-19-2620	0.737350133178336	0.0906191302104725	0.0847372962952763	0	0.0150642721010061	0.00194096108056187	0	0	0.00747923444011385	0	0.0247463479939261	0	0.0133403431933423	0.00123229730705986	0.0234899841999057	0	0
TCGA-19-2624	0.783955384956121	0.0496542948458211	0	0	0.0555560015749479	0	0.00325873276448252	0	0.00159104493194533	0	0.062295395730599	0.00111242150991188	0.0425767236861716	0	0	0	0
TCGA-19-2629	0.564552209369691	0.048130705407162	0.26229747049948	0.0355012746308526	0.00310128955844702	0.0299817873788321	0.00975037493347379	0	0.0112396391259934	0	0	0	0	0	0.032477866538357	0.00296738255771163	0
